home,away,home.odds,tie.odds,away.odds
 Qatar, Ecuador,3.20,3.10,2.40
 England, Iran,1.37,4.50,10.00
 Senegal, Netherlands,6.00,3.80,1.60
 USA, Wales,2.55,3.00,3.00
 Argentina, Saudi Arabia,1.17,7.00,17.50
 Denmark, Tunisia,1.47,4.10,7.50
 Mexico, Poland,2.70,3.10,2.75
 France, Australia,1.25,6.00,12.50
 Morocco, Croatia,4.00,3.20,2.00
 Germany, Japan,1.47,4.50,6.50
 Spain, Costa Rica,1.16,7.50,20.00
 Belgium, Canada,1.51,4.33,6.25
 Switzerland, Cameroon,1.72,3.50,5.25
 Uruguay, Korea Republic,1.77,3.40,5.00
 Portugal, Ghana,1.40,4.33,9.00
 Brazil, Serbia,1.46,4.33,7.25
 Wales, Iran,2.37,3.10,3.20
 Qatar, Senegal,3.50,3.20,2.20
 Netherlands, Ecuador,1.60,3.80,6.00
 England, USA,1.62,3.75,5.75
 Tunisia, Australia,2.65,3.00,2.80
 Poland, Saudi Arabia,1.63,3.75,5.50
 France, Denmark,2.00,3.30,3.90
 Argentina, Mexico,1.47,3.90,6.75
 Japan, Costa Rica,1.68,3.60,5.50
 Belgium, Morocco,1.58,4.00,5.75
 Croatia, Canada,1.73,3.60,4.80
 Spain, Germany,2.50,3.30,2.75
 Cameroon, Serbia,4.60,3.40,1.82
 Korea Republic, Ghana,2.60,3.00,2.90
 Brazil, Switzerland,1.43,4.10,6.75
 Portugal, Uruguay,2.10,3.25,3.60
 Ecuador, Senegal,2.70,3.20,2.65
 Netherlands, Qatar,1.26,5.50,13.50
 Iran, USA,4.00,3.40,1.95
 Wales, England,6.00,3.70,1.62
 Tunisia, France,11.00,4.75,1.34
 Australia, Denmark,6.50,4.33,1.49
 Poland, Argentina,5.00,3.80,1.66
 Saudi Arabia, Mexico,5.50,3.75,1.63
 Canada, Morocco,3.10,3.10,2.40
 Croatia, Belgium,3.30,3.30,2.20
 Japan, Spain,6.50,4.80,1.44
 Costa Rica, Germany,14.00,5.50,1.25
 Korea Republic, Portugal,6.75,4.00,1.52
 Ghana, Uruguay,4.60,3.50,1.80
 Cameroon, Brazil,14.00,5.50,1.25
 Serbia, Switzerland,2.80,3.10,2.65
