"game.id","Koti","Vieras","1","X","2"
"QATECU","Qatar","Ecuador","3.5","3.2","2.15"
"ENGIRN","Englanti","Iran","1.32","4.75","12"
"SENNED","Senegal","Hollanti","5.75","3.75","1.63"
"USAWAL","USA","Wales","2.55","3.1","2.95"
"ARGKSA","Argentiina","Saudi-Arabia","1.18","6.75","18.5"
"DENTUN","Tanska","Tunisia","1.47","4.1","7.75"
"MEXPOL","Meksiko","Puola","2.75","3.1","2.65"
"FRAAUS","Ranska","Australia","1.25","5.75","13"
"MARCRO","Marokko","Kroatia","4.6","3.25","1.87"
"GERJPN","Saksa","Japani","1.44","4.6","7.25"
"ESPCRC","Espanja","Costa Rica","1.21","6.5","16"
"BELCAN","Belgia","Kanada","1.35","4.8","9.5"
"SUICMR","Sveitsi","Kamerun","1.82","3.3","4.8"
"URUKOR","Uruguay","Etelä-Korea","1.8","3.4","4.8"
"PORGHA","Portugali","Ghana","1.44","4.2","8.5"
"BRASRB","Brasilia","Serbia","1.46","4.33","7.25"
"WALIRN","Wales","Iran","2.15","3.2","3.6"
"QATSEN","Qatar","Senegal","3.7","3.3","2.05"
"NEDECU","Hollanti","Ecuador","1.65","3.9","5.25"
"ENGUSA","Englanti","USA","1.7","3.6","5.25"
"TUNAUS","Tunisia","Australia","2.95","3","2.55"
"POLKSA","Puola","Saudi-Arabia","1.65","3.75","5.5"
"FRADEN","Ranska","Tanska","1.95","3.3","4.1"
"ARGMEX","Argentiina","Meksiko","1.57","3.7","6"
"JPNCRC","Japani","Costa Rica","1.93","3.3","4.2"
"BELMAR","Belgia","Marokko","1.55","4.1","6"
"CROCAN","Kroatia","Kanada","1.82","3.5","4.5"
"ESPGER","Espanja","Saksa","2.5","3.3","2.75"
"CMRSRB","Kamerun","Serbia","4","3.3","2"
"KORGHA","Etelä-Korea","Ghana","2.55","3","3"
"BRASUI","Brasilia","Sveitsi","1.43","4.1","6.75"
"PORURU","Portugali","Uruguay","2.1","3.25","3.7"
"ECUSEN","Ecuador","Senegal","2.87","3.3","2.45"
"NEDQAT","Hollanti","Qatar","1.31","5.5","9.5"
"IRNUSA","Iran","USA","3.4","3.4","2.1"
"WALENG","Wales","Englanti","6","4","1.57"
"TUNFRA","Tunisia","Ranska","12.5","5.75","1.25"
"AUSDEN","Australia","Tanska","6.5","3.75","1.57"
"POLARG","Puola","Argentiina","5","3.75","1.7"
"KSAMEX","Saudi-Arabia","Meksiko","6.25","4.2","1.52"
"CANMAR","Kanada","Marokko","3.2","3.3","2.25"
"CROBEL","Kroatia","Belgia","3.9","3.5","1.93"
"JPNESP","Japani","Espanja","9","5.5","1.32"
"CRCGER","Costa Rica","Saksa","10","5.5","1.3"
"KORPOR","Etelä-Korea","Portugali","8.5","4.8","1.38"
"GHAURU","Ghana","Uruguay","4.6","3.6","1.77"
"CMRBRA","Kamerun","Brasilia","8.5","5.25","1.33"
"SRBSUI","Serbia","Sveitsi","2.75","3.4","2.5"
