"Koti","Vieras","Tulos","Kerroin"
"Qatar","Ecuador","0-2",10.2
"Englanti","Iran","6-2",368.76
"Senegal","Hollanti","0-2",7.71
"USA","Wales","1-1",6.56
"Argentiina","Saudi-Arabia","1-2",108.28
"Tanska","Tunisia","0-0",10.41
"Meksiko","Puola","0-0",9.13
"Ranska","Australia","4-1",18.79
"Marokko","Kroatia","0-0",10.44
"Saksa","Japani","1-2",27.02
"Espanja","Costa Rica","7-0",85.45
"Belgia","Kanada","1-0",8.02
"Sveitsi","Kamerun","1-0",7.03
"Uruguay","Etelä-Korea","0-0",8.8
"Portugali","Ghana","3-2",35.74
"Brasilia","Serbia","2-0",8.44
"Wales","Iran","0-2",23.15
"Qatar","Senegal","1-3",15.12
"Hollanti","Ecuador","1-1",7.79
"Englanti","USA","0-0",11.78
"Tunisia","Australia","0-1",10.24
"Puola","Saudi-Arabia","2-0",8.07
"Ranska","Tanska","2-1",8.75
"Argentiina","Meksiko","2-0",7.64
"Japani","Costa Rica","0-1",18.69
"Belgia","Marokko","0-2",26.27
"Kroatia","Kanada","4-1",42.06
"Espanja","Saksa","1-1",7.75
"Kamerun","Serbia","3-3",67.52
"Etelä-Korea","Ghana","2-3",30.61
"Brasilia","Sveitsi","1-0",6.69
"Portugali","Uruguay","2-0",9.52
"Ecuador","Senegal","1-2",13.68
"Hollanti","Qatar","2-0",7.02
"Iran","USA","0-1",7.34
"Wales","Englanti","0-3",10.38
"Tunisia","Ranska","1-0",17.18
"Australia","Tanska","1-0",16.08
"Puola","Argentiina","0-2",6.49
"Saudi-Arabia","Meksiko","1-2",9.55
"Kanada","Marokko","1-2",9.28
"Kroatia","Belgia","0-0",11.66
"Japani","Espanja","2-1",22.19
"Costa Rica","Saksa","2-4",68.25
"Etelä-Korea","Portugali","2-1",16.2
"Ghana","Uruguay","0-2",9.71
"Kamerun","Brasilia","1-0",26.64
"Serbia","Sveitsi","2-3",25.33
