"game.id","Joni","Juha","Make","Miku","Patrik","Reni","Rikson","Santeri"
"QATECU","1-0","0-2","1-2","1-2","0-3","0-1","0-2","1-1"
"ENGIRN","2-0","2-0","2-0","3-0","2-0","2-0","4-0","3-1"
"SENNED","1-2","1-2","0-2","1-3","0-2","0-1","1-3","1-2"
"USAWAL","0-1","1-1","1-1","1-1","2-1","1-2","1-1","2-2"
"ARGKSA","3-0","3-0","2-0","4-0","4-0","3-0","5-0","4-0"
"DENTUN","2-1","2-0","1-0","2-0","1-2","1-0","3-1","2-0"
"MEXPOL","1-1","1-1","1-1","1-2","2-2","1-1","1-1","1-1"
"FRAAUS","3-0","3-0","1-1","2-0","3-1","1-0","4-1","4-0"
"MARCRO","0-1","0-1","0-1","0-1","0-3","0-2","1-2","1-3"
"GERJPN","2-1","2-0","1-1","2-0","2-0","1-0","4-1","2-0"
"ESPCRC","2-0","2-0","1-0","2-1","2-0","2-0","4-0","2-0"
"BELCAN","2-0","2-0","1-0","3-1","2-0","2-1","3-0","2-0"
"SUICMR","1-0","1-0","2-1","1-1","1-1","1-0","2-1","0-0"
"URUKOR","0-1","1-1","1-1","2-1","3-1","2-1","1-0","1-0"
"PORGHA","2-1","1-0","2-1","2-0","3-1","2-0","2-1","3-2"
"BRASRB","3-1","2-1","1-1","2-0","3-1","3-0","3-1","3-1"
"WALIRN","1-1","1-0","1-0","2-1","1-1","1-0","1-0","2-2"
"QATSEN","0-1","0-2","0-1","0-2","1-2","0-0","1-2","1-2"
"NEDECU","3-0","3-1","1-1","3-0","2-1","2-1","2-0","2-1"
"ENGUSA","2-0","1-1","2-1","2-0","2-0","2-0","2-2","3-0"
"TUNAUS","2-1","1-1","0-1","0-0","2-2","0-1","1-2","1-1"
"POLKSA","2-0","3-0","2-0","2-0","3-0","2-0","2-0","3-1"
"FRADEN","0-1","2-1","1-1","1-1","2-0","2-2","2-1","1-2"
"ARGMEX","2-1","2-1","2-1","2-1","2-2","2-1","3-1","2-1"
"JPNCRC","2-2","1-0","1-0","1-1","2-2","1-1","0-0","0-0"
"BELMAR","3-1","3-0","1-0","2-0","3-1","2-0","3-0","2-0"
"CROCAN","2-0","1-0","1-0","2-1","3-0","1-0","2-0","2-1"
"ESPGER","2-2","1-2","1-2","1-1","2-1","1-1","2-2","3-3"
"CMRSRB","0-2","2-2","0-1","1-1","1-2","0-1","1-1","1-2"
"KORGHA","1-0","1-1","1-1","1-1","1-2","2-2","1-2","2-2"
"BRASUI","2-1","1-1","2-1","2-0","3-1","2-1","2-2","3-1"
"PORURU","1-2","2-1","1-0","1-0","2-2","1-1","1-2","2-1"
"ECUSEN","2-2","1-1","1-0","0-1","2-0","0-0","1-2","1-1"
"NEDQAT","3-0","3-0","2-0","3-0","4-0","2-0","4-0","3-0"
"IRNUSA","2-1","0-2","0-1","0-1","1-3","0-2","1-3","0-0"
"WALENG","2-2","0-0","1-1","0-1","1-2","1-2","1-2","1-2"
"TUNFRA","0-2","0-4","0-2","0-2","0-4","1-3","0-4","0-4"
"AUSDEN","1-1","1-3","0-1","0-2","1-2","1-2","1-3","0-2"
"POLARG","1-2","1-1","0-1","1-2","1-3","1-3","2-2","1-3"
"KSAMEX","0-2","0-2","0-1","0-2","0-3","1-2","1-3","0-2"
"CANMAR","2-1","1-0","1-1","0-1","2-2","1-1","1-1","2-2"
"CROBEL","1-1","1-1","1-1","1-1","2-3","1-2","1-3","2-1"
"JPNESP","0-2","0-2","1-2","0-2","1-3","0-2","0-4","0-3"
"CRCGER","0-3","0-4","0-2","0-2","0-3","1-2","1-4","0-2"
"KORPOR","0-2","0-2","0-1","1-2","0-3","0-3","1-3","1-3"
"GHAURU","1-1","1-1","1-1","0-1","2-3","0-2","2-2","1-2"
"CMRBRA","0-2","0-2","0-1","0-2","1-4","1-3","1-3","0-3"
"SRBSUI","2-2","0-1","1-1","0-1","2-2","1-1","2-2","2-2"
