"Joukkue","Daniel","Joni","Juha","Make","Miku","Patrik","Reni","Rikson","Riku","Santeri"
"Belgia","Neljännesvälierät","Neljännesvälierät","Puolivälierät","Puolivälierät","Puolivälierät","Puolivälierät","Neljännesvälierät","Puolivälierät","Puolivälierät","Neljännesvälierät"
"Englanti","Finaali","Puolivälierät","Välierät","Finaali","Välierät","Finaali","Finaali","Välierät","Välierät","Välierät"
"Espanja","Puolivälierät","Finaali","Puolivälierät","Puolivälierät","Puolivälierät","Puolivälierät","Välierät","Neljännesvälierät","Puolivälierät","Puolivälierät"
"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Neljännesvälierät"
"Hollanti","Välierät","Puolivälierät","Puolivälierät",NA,"Puolivälierät","Välierät",NA,"Välierät","Puolivälierät",NA
"Italia","Puolivälierät","Välierät","Neljännesvälierät","Puolivälierät","Puolivälierät","Finaali","Neljännesvälierät","Finaali","Puolivälierät","Puolivälierät"
"Itävalta","Puolivälierät",NA,NA,NA,NA,NA,"Puolivälierät","Neljännesvälierät",NA,"Puolivälierät"
"Kroatia","Neljännesvälierät","Puolivälierät","Puolivälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät",NA,"Neljännesvälierät","Neljännesvälierät","Puolivälierät"
"Portugali","Puolivälierät","Välierät","Finaali","Puolivälierät","Välierät","Puolivälierät","Finaali","Neljännesvälierät","Finaali","Välierät"
"Puola",NA,NA,NA,NA,NA,"Neljännesvälierät",NA,NA,"Neljännesvälierät",NA
"Ranska","Välierät","Finaali","Finaali","Välierät","Finaali","Välierät","Välierät","Finaali","Finaali","Finaali"
"Romania","Neljännesvälierät",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saksa","Finaali","Neljännesvälierät","Välierät","Finaali","Finaali","Puolivälierät","Puolivälierät","Puolivälierät","Välierät","Finaali"
"Serbia",NA,NA,"Neljännesvälierät","Neljännesvälierät","Neljännesvälierät",NA,"Neljännesvälierät",NA,NA,NA
"Skotlanti",NA,NA,NA,NA,NA,NA,"Puolivälierät","Puolivälierät","Neljännesvälierät","Neljännesvälierät"
"Slovakia",NA,"Neljännesvälierät","Neljännesvälierät",NA,NA,"Neljännesvälierät",NA,NA,NA,"Neljännesvälierät"
"Sveitsi","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät",NA,"Neljännesvälierät","Neljännesvälierät","Neljännesvälierät"
"Tanska",NA,"Puolivälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät",NA,"Puolivälierät","Neljännesvälierät","Neljännesvälierät"
"Tshekki",NA,"Neljännesvälierät",NA,"Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät"
"Turkki","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät",NA
"Ukraina","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät","Neljännesvälierät"
"Unkari","Neljännesvälierät","Neljännesvälierät",NA,"Neljännesvälierät","Neljännesvälierät",NA,"Puolivälierät",NA,NA,NA
